Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Fire Along the Sky,"In 1812, Elizabeth and Nathaniel Bonner mark the return of Nathaniel's daughter Hannah, while her half-brother Daniel joins the militia and his twin, Lily, falls in love with a dark and dangerous stranger, in a continuation of the saga of the Bonner family in early America. By the author of Into the Wilderness. Reprint.",['Sara Donati'],http://books.google.com/books/content?id=W9MoLUpXPfAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=W9MoLUpXPfAC&printsec=frontcover&dq=Fire+Along+the+Sky&hl=&cd=1&source=gbs_api,Dell,2005,http://books.google.com/books?id=W9MoLUpXPfAC&dq=Fire+Along+the+Sky&hl=&source=gbs_api,['Fiction'],9.0
"Haunts, Haunts, Haunts","While dealing with her ex-husband who is trying to win back their 10-year-old daughter, Alison Kerby must help a pair of sad spirits who, haunting her Jersey Shore guesthouse, need her help in solving a murder. Original. 50,000 first printing.",['E. J. Copperman'],http://books.google.com/books/content?id=daM6nwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=daM6nwEACAAJ&dq=Haunts,+Haunts,+Haunts&hl=&cd=1&source=gbs_api",Berkley,2012,"http://books.google.nl/books?id=daM6nwEACAAJ&dq=Haunts,+Haunts,+Haunts&hl=&source=gbs_api",['Fiction'],8.0
Crimson: Earth Angel - Tome 3,"A #1 New York Times bestseller! Sarah J. Maas's brand-new CRESCENT CITY series begins with House of Earth and Blood: the story of half-Fae and half-human Bryce Quinlan as she seeks revenge in a contemporary fantasy world of magic, danger, and searing romance. Bryce Quinlan had the perfect life-working hard all day and partying all night-until a demon murdered her closest friends, leaving her bereft, wounded, and alone. When the accused is behind bars but the crimes start up again, Bryce finds herself at the heart of the investigation. She'll do whatever it takes to avenge their deaths. Hunt Athalar is a notorious Fallen angel, now enslaved to the Archangels he once attempted to overthrow. His brutal skills and incredible strength have been set to one purpose-to assassinate his boss's enemies, no questions asked. But with a demon wreaking havoc in the city, he's offered an irresistible deal: help Bryce find the murderer, and his freedom will be within reach. As Bryce and Hunt dig deep into Crescent City's underbelly, they discover a dark power that threatens everything and everyone they hold dear, and they find, in each other, a blazing passion-one that could set them both free, if they'd only let it. With unforgettable characters, sizzling romance, and page-turning suspense, this richly inventive new fantasy series by #1 New York Times bestselling author Sarah J. Maas delves into the heartache of loss, the price of freedom-and the power of love.",['Sarah J. Maas'],http://books.google.com/books/content?id=LUmQDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=LUmQDwAAQBAJ&pg=PP1&dq=Crimson:+Earth+Angel+-+Tome+3&hl=&cd=1&source=gbs_api,Bloomsbury Publishing USA,2020-03-03,https://play.google.com/store/books/details?id=LUmQDwAAQBAJ&source=gbs_api,['Fiction'],18.0
The Ash Garden,"Emiko Amai is six years old in August 1945 when the Hiroshima bomb burns away half of her face. To Anton, a young German physicist involved in the Manhattan Project, that same bomb represents the pinnacle of scientific elegance. And for his Austrian wife Sophie, a Jewish refugee, it marks the start of an irreparable fissure in their new marriage. Fifty years later, seemingly far removed from the day that defined their lives, Emiko visits Anton and Sophie, and in Dennis Bock’s powerfully imagined narrative, their histories converge.",['Dennis Bock'],http://books.google.com/books/content?id=tXkLWWXnMzsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=tXkLWWXnMzsC&printsec=frontcover&dq=The+Ash+Garden&hl=&cd=1&source=gbs_api,Vintage,2002-01-08,https://play.google.com/store/books/details?id=tXkLWWXnMzsC&source=gbs_api,['Fiction'],3.0
Pilgrim : A Novel,"Ageless. Sexless. Deathless. Timeless. Pilgrim is a man who cannot die, an astounding character in a novel of the cataclysmic contest between creation and destruction. Pilgrim is Timothy Findley’s masterwork, a finalist for the Giller Prize, and a national bestseller that has smashed the author’s own impressive sales records. It is 1912 and Pilgrim has been admitted to the Burghölzli Psychiatric Clinic in Zürich, Switzerland, having failed—once again—to commit suicide. Over the next two years, it is up to Carl Jung, self-professed mystical scientist of the mind, to help Pilgrim unlock his unconsciousness, etched as it is with myriad sufferings and hopes of history. Is Pilgrim mad, or is he condemned to live forever, witness to the terrible tragedy and beauty of the human condition? Both intimate and expansive in its scope, with an absorbing parade of characters—mythic, fictional and historical—Pilgrim is a fiercely original and powerful story from one of our most distinguished artists.",['Timothy Findley'],http://books.google.com/books/content?id=xKmDFRVwWEUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=xKmDFRVwWEUC&pg=PP1&dq=Pilgrim+:+A+Novel&hl=&cd=1&source=gbs_api,HarperCollins Canada,2010-06-01,http://books.google.com/books?id=xKmDFRVwWEUC&dq=Pilgrim+:+A+Novel&hl=&source=gbs_api,['Fiction'],11.0
The Mercenaries,"Helmsman Wilf Brim faces his gravest challenge. As the ravaged postwar Imperial Fleet stands helpless, nearby worlds fall to Emperor Triannic and his evil League of Dark Stars. To defend freedom, Imperial patriots have assembled the first squadron of Starfuries: amazing new astroplanes from Sherrington Hyperspace Works, and Wilf Brim finds himself in command.",['Bill Baldwin'],http://books.google.com/books/content?id=ncpoPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=ncpoPwAACAAJ&dq=The+Mercenaries&hl=&cd=1&source=gbs_api,Booklocker.Com Incorporated,2008-04-01,http://books.google.com/books?id=ncpoPwAACAAJ&dq=The+Mercenaries&hl=&source=gbs_api,['Fiction'],
Of the Flesh: Dangerous New Fiction,"Fiction. Erotica. Is sex dangerous? These 20 stories answer this question in many ways: from the use of sex as a weapon to the use of weapons in sex; the human body can be dangerous; thinking about sex can be dangerous; love and the ways of the heart can be dangerous. Following your own desire can be dangerous... OF THE FLESH: DANGEROUS NEW FICTION includes the authors Lawrence Ytzhak Braithwaite, Cara Bruce, Hertzan Chimera, M. Christian, Wayne Courtois, doll yoko, Jamie Joy Gatto, Beth Greenwood, Debra Hyde, Francisco Ibanez-Carrasco, Susannah Indigo, Maxim Jakubowski, Sean Meriwether, Marshall Moore, Ian Philips, Carol Queen, Thomas S. Roche, Simon Sheppard, horehound stillpoint, and Emanuel Xavier.",['Greg Wharton'],http://books.google.com/books/content?id=DdEnAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=DdEnAAAACAAJ&dq=Of+the+Flesh:+Dangerous+New+Fiction&hl=&cd=1&source=gbs_api,,2001-01-01,http://books.google.com/books?id=DdEnAAAACAAJ&dq=Of+the+Flesh:+Dangerous+New+Fiction&hl=&source=gbs_api,['Fiction'],
Aesop's Fables (Signet Classics),"203 of Aesop's most enduring and popular fables, translated into readable, modern American English and beautifully illustrated with 50 classic woodcuts by the great French artist J.J. Grandville.",['Aesop'],http://books.google.com/books/content?id=t3s9PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=t3s9PgAACAAJ&dq=Aesop%27s+Fables+(Signet+Classics)&hl=&cd=1&source=gbs_api,Signet Classic,2004-10,http://books.google.com/books?id=t3s9PgAACAAJ&dq=Aesop%27s+Fables+(Signet+Classics)&hl=&source=gbs_api,['Fiction'],21.0
An American tragedy,"The author's classic vision of the dark side of American life looks at the failings of the American dream, in the story of the rise and fall of Clyde Griffiths, who sacrifices everything in his desperate quest for success.","['Theodore Dreiser', 'Richard Lingeman', 'Margaret E. Mitchell']",http://books.google.com/books/content?id=STXxjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=STXxjgEACAAJ&dq=An+American+tragedy&hl=&cd=1&source=gbs_api,Signet Classic,2010,http://books.google.com/books?id=STXxjgEACAAJ&dq=An+American+tragedy&hl=&source=gbs_api,['Fiction'],17.0
New Latin grammar,"New Latin Grammar is a work by Charles E. Bennett, a classical scholar and a Professor of Latin. It delves into the grammatical principles and applications of the Latin language.",['Charles E. Bennett'],http://books.google.com/books/content?id=UADDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=UADDDwAAQBAJ&printsec=frontcover&dq=New+Latin+grammar&hl=&cd=1&source=gbs_api,Good Press,2019-11-19,https://play.google.com/store/books/details?id=UADDDwAAQBAJ&source=gbs_api,['Fiction'],
The Conquering Family,"Thomas B. Costain's four-volume history of the Plantagenets begins with THE CONQUERING FAMILY and the conquest of England by William the Conqueror in 1066, closing with the reign of John in 1216. The troubled period after the Norman Conquest, when the foundations of government were hammered out between monarch and people, comes to life through Costain's storytelling skill and historical imagination.",['Thomas B. Costain'],http://books.google.com/books/content?id=dTtQMuzVAY4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=dTtQMuzVAY4C&printsec=frontcover&dq=The+Conquering+Family&hl=&cd=1&source=gbs_api,Doubleday,2012-03-07,https://play.google.com/store/books/details?id=dTtQMuzVAY4C&source=gbs_api,['Fiction'],4.0
Dark Demon Rising,"A newly revised 20th anniversary edition of Tunku Halim’s first novel. Shazral leads a comfortable life as a corporate lawyer in Kuala Lumpur, complete with sports car and hot girlfriend. But a call from his kampung tells him that his estranged father is dying. Shazral had left the kampung in anger almost a decade ago, but now feels the irresistible pull to return. His father isn’t just an ordinary villager but the most respected bomoh in the area. And when Pak Abas with his dying breath wants Shazral to accept his “inheritance”, he is not just talking about physical property. While fighting both the literal and figurative demons of the past and present, Shazral also needs to decide whether to accept the supernatural but potentially terrifying destiny of his heritage. p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 11.0px 'Helvetica Neue'; color: #000000; -webkit-text-stroke: #000000} p.p2 {margin: 0.0px 0.0px 0.0px 0.0px; font: 11.0px 'Helvetica Neue'; color: #000000; -webkit-text-stroke: #000000; min-height: 13.0px} p.p3 {margin: 0.0px 0.0px 0.0px 0.0px; font: 11.0px 'Helvetica Neue'; color: #000000; -webkit-text-stroke: #000000; min-height: 12.0px} span.s1 {font-kerning: none} (Buku Fixi) (Fixi Novo)",['Tunku Halim'],http://books.google.com/books/content?id=7AY3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=7AY3DwAAQBAJ&printsec=frontcover&dq=Dark+Demon+Rising&hl=&cd=1&source=gbs_api,Buku Fixi,2017-09-18,https://play.google.com/store/books/details?id=7AY3DwAAQBAJ&source=gbs_api,['Fiction'],
Knee-Deep in Wonder: A Novel,"A dazzling first novel about four generations of fear and longing in the deep South ""Who're your people, girl?"" It's the song of the South, the big question, persistent and unforgiving. Helene Strickland, daughter of Lafayette County, Arkansas, and lately of the Northeast, doesn't have an answer. Instead, she has memories riddled with half-truths, stories heard in fits and starts, a family history from a family that doesn't know its own past. In the steamy August of 1976, Helene returns home for her aunt's funeral determined to learn the truth, but her probing yields more questions than answers: Why did her grandmother, Liberty, a cotton picker turned saloon owner, have no name until she was fourteen? Why does Queen Ester, Helene's mother, dress like a child, talk to no one, and refuse to see her own daughter? And who was Chess, a man with a terror of water, a man like a honey trap who drew the women and then destroyed them? In a mesmerizing narrative, April Reynolds seamlessly weaves past and present, intricate flashbacks and interlaced stories to produce an epic novel of one family maimed by the deepest wounds of history. Rich with legend, poetry, and historic events, Knee-Deep in Wonder captures the complex humanity of black Southern life.",['April Reynolds'],http://books.google.com/books/content?id=awrHAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=awrHAgAAQBAJ&printsec=frontcover&dq=Knee-Deep+in+Wonder:+A+Novel&hl=&cd=1&source=gbs_api,Metropolitan Books,2014-03-18,https://play.google.com/store/books/details?id=awrHAgAAQBAJ&source=gbs_api,['Fiction'],
Po' Man's Poker,,['Cheryl Dooley-Ponton'],http://books.google.com/books/content?id=H0ANAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=H0ANAAAACAAJ&dq=Po%27+Man%27s+Poker&hl=&cd=1&source=gbs_api,,2002-05-01,http://books.google.com/books?id=H0ANAAAACAAJ&dq=Po%27+Man%27s+Poker&hl=&source=gbs_api,['Fiction'],
The Swimming Pool,"An illicit affair, an unsolved murder, an intense summer romance in Cape Cod - introducing Holly LeCraw's explosive and stunningly-written debut. Seven summers ago, on Cape Cod, Marcella Atkinson - a married woman - fell in love with Cecil McClatchey, married father of two. Fuelled by desire and mutual respect, a secret affair blossomed, but when Cecil's wife was murdered, their romance promptly ended. Cecil died soon after, and while his wife's murder has never been solved, he remains a suspect. Years later, Marcella returns to her beach house on the Cape, where she encounters Cecil's grown son, Jed, who remembers her quite vividly from his youth. As both of them struggle to cope with the grief and loss of the past, they fall into a torrid and complicated affair. But as their relationship deepens, it leads to emotional crises and revelations about the unsolved murder of Jed's mother. Brilliant and seductive, this is a debut novel about love in all its forms and about the ripple effects of actions both good and evil.",['Holly LeCraw'],http://books.google.com/books/content?id=FmrAtHQQdN8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=FmrAtHQQdN8C&printsec=frontcover&dq=The+Swimming+Pool&hl=&cd=1&source=gbs_api,Doubleday Canada,2010-04-06,http://books.google.com/books?id=FmrAtHQQdN8C&dq=The+Swimming+Pool&hl=&source=gbs_api,['Fiction'],46.0
Foreign Devils (Doctor Who),,['Andrew Cartmel'],http://books.google.com/books/content?id=1C4KAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=1C4KAAAACAAJ&dq=Foreign+Devils+(Doctor+Who)&hl=&cd=1&source=gbs_api,Telos Pub Limited,2002,http://books.google.com/books?id=1C4KAAAACAAJ&dq=Foreign+Devils+(Doctor+Who)&hl=&source=gbs_api,['Fiction'],
Sex And The Single Witch,"Backfired love spells, shifty warlocks, and potions abound in this delightfully wicked trio of stories that includes Theresa Alan's The Witch's Guide to Life, in which an artist and witch finds her creativity slowly waning when she catches the eye of a sexy ice hockey coach who loves her work. Reprint.","['Theresa Alan', 'Holly Chamberlin', 'Carly Alexander']",http://books.google.com/books/content?id=O866wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=O866wAEACAAJ&dq=Sex+And+The+Single+Witch&hl=&cd=1&source=gbs_api,Zebra Books,2006,http://books.google.com/books?id=O866wAEACAAJ&dq=Sex+And+The+Single+Witch&hl=&source=gbs_api,['Fiction'],4.0
Freezing Tillie: An Alliance of Strangers,"Would you deep-freeze a dying loved one in anticipation of a medical cure? Alf Kravitz makes that decision on behalf of his dying wife Tillie. He and Tillie, Polish Gentiles who survived the Nazi Holocaust and the loss of their twin daughters, both know that every day alive is precious. Little does Alf realize that the ""Institute of Igloology"" is nothing more than taxi-driver Sammy Fitzgerald's scheme to make money by stowing the deceased in his friend Barney Lewis' basement Frigidaire. Hold on for the wild ride as an Alliance of Strangers combine to keep Tillie from entering Heaven... until she teaches her husband that it is natural and right to Die with Dignity.",['Gary Barnes'],http://books.google.com/books/content?id=PcKr1I8PoyEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=PcKr1I8PoyEC&printsec=frontcover&dq=Freezing+Tillie:+An+Alliance+of+Strangers&hl=&cd=1&source=gbs_api,iUniverse,2000-12-01,http://books.google.com/books?id=PcKr1I8PoyEC&dq=Freezing+Tillie:+An+Alliance+of+Strangers&hl=&source=gbs_api,['Fiction'],
