Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,image_path,main_category,label
Crackpots: A Novel,"When we first meet Ruby Reese she’s a spunky kid in a cowgirl hat, tap dancing her way through a slightly off-kilter 1950s childhood. With an insomniac mother and a demolitions-expert father, her entire family is what the residents of her small town would call ""a bunch of crackpots."" Despite the dramas of her upbringing, Ruby matures into a creative, introspective, and wholly beguiling woman. But her adulthood is marked by complex relationships and romantic missteps -- three unsuitable marriages, dramatic crushes, the complicated love between siblings. As Sara Pritchard deftly guides us through Ruby's story, from the present to the past and back again, a portrait of a remarkably resilient woman emerges. Suffused with humor and melancholy, imagination and insight, Crackpots heralds the debut of a skilled and sensitive storyteller.",['Sara Pritchard'],http://books.google.com/books/content?id=Qc4EaxJpFQQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Qc4EaxJpFQQC&printsec=frontcover&dq=Crackpots:+A+Novel&hl=&cd=1&source=gbs_api,HarperCollins,2003-08-17,https://play.google.com/store/books/details?id=Qc4EaxJpFQQC&source=gbs_api,['Fiction'],1.0,book_covers/297_Crackpots__A_Novel.jpg,Fiction,0
"Getting Anger Under Control: Overcoming Unresolved Resentment, Overwhelming Emotions, and the Lies Behind Anger","Mishandling anger or just trying to ""manage"" it can lead to conflict, bitterness, and physical, emotional, and mental distress. Authors Neil Anderson and Rich Miller show you how God wants to set you free from anger's deception and from self-sufficiency so you can be who He has made you to be in Christ. They explain how righteous and unrighteous anger differ patterns of unrighteous anger form and enslave you anger's chains are loosened when you live in grace—in Christ—and forgive others you can trust God with specific areas in your life where anger has trapped you you can live in God's peace—and at peace with others—in an angry world Getting Anger Under Control will point you to a life filled, not with anger, but with God's love and presence.","['Neil T. Anderson', 'Rich Miller']",http://books.google.com/books/content?id=_MOOU346A9gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=_MOOU346A9gC&printsec=frontcover&dq=Getting+Anger+Under+Control:+Overcoming+Unresolved+Resentment,+Overwhelming+Emotions,+and+the+Lies+Behind+Anger&hl=&cd=1&source=gbs_api",Harvest House Publishers,2002-01-15,https://play.google.com/store/books/details?id=_MOOU346A9gC&source=gbs_api,['Religion'],4.0,book_covers/531_Getting_Anger_Under_Control__Overcoming_Unresolved_Resentment__Overwhelming_Emotions__and_the_Lies_Behind_Anger.jpg,Religion,2
When Comes the Spring (Canadian West #2),"Elizabeth, the cultured young schoolteacher from the East, has braved the western frontier and spent a year teaching in a one-room schoolhouse. How she and Wynn are planning their wedding and their new life together at his outpost in the far north. While Wynn is accustomed to life in the north, Elizabeth is not. Can their love for each other sustain them through a harsh winter, loneliness, and rigors of life without any of the conveniences they're used to? Book 2 of the bestselling Canadian West series.",['Janette Oke'],http://books.google.com/books/content?id=_rPLrA415C4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=_rPLrA415C4C&printsec=frontcover&dq=When+Comes+the+Spring+(Canadian+West&hl=&cd=1&source=gbs_api,Baker Books,2005-02-01,https://play.google.com/store/books/details?id=_rPLrA415C4C&source=gbs_api,['Fiction'],7.0,book_covers/235_When_Comes_the_Spring__Canadian_West__2_.jpg,Fiction,0
Invitation to Provence,"Invited to attend a family reunion in Provence, Franny Marten leaves behind her unfaithful boyfriend to enjoy the region's beautiful landscapes, but someone is determined to prevent her discovery of family secrets.",['Elizabeth Adler'],http://books.google.com/books/content?id=qPEzGmIcKPkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=qPEzGmIcKPkC&printsec=frontcover&dq=Invitation+to+Provence&hl=&cd=1&source=gbs_api,Macmillan,2005-08-02,http://books.google.com/books?id=qPEzGmIcKPkC&dq=Invitation+to+Provence&hl=&source=gbs_api,['Fiction'],3.0,book_covers/183_Invitation_to_Provence.jpg,Fiction,0
FORTRESS MALTA; AN ISLAND UNDER SIEGE 1940-1943.,"The extraordinary drama of Malta's WWII victory against impossible odds told through the eyes of the people who were there. In March and April 1942, more explosives were dropped on the tiny Mediterranean island of Malta - smaller than the Isle of Wight - than on the whole of Britain during the first year of the Blitz. Malta had become one of the most strategically important places in the world. From there, the Allies could attack Axis supply lines to North Africa; without it, Rommel would be able to march unchecked into Egypt, Suez and the Middle East. For the Allies this would have been catastrophic. As Churchill said, Malta had to be held 'at all costs'. FORTRESS MALTA follows the story through the eyes of those who were there: young men such as twenty-year-old fighter pilot Raoul Daddo-Langlois, anti-aircraft gunner Ken Griffiths, American Art Roscoe and submariner Tubby Crawford - who served on the most successful Allied submarine of the Second World War; cabaret dancer-turned RAF plotter Christina Ratcliffe, and her lover, the brilliant and irrepressible reconnaissance pilot, Adrian Warburton. Their stories and others provide extraordinary first-hand accounts of heroism, resilience, love, and loss, highlighting one of the most remarkable stories of World War II.",['James Holland'],http://books.google.com/books/content?id=In85AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=In85AgAAQBAJ&printsec=frontcover&dq=FORTRESS+MALTA%3B+AN+ISLAND+UNDER+SIEGE+1940-1943.&hl=&cd=1&source=gbs_api,Weidenfeld & Nicolson,2013-01-31,http://books.google.com/books?id=In85AgAAQBAJ&dq=FORTRESS+MALTA%3B+AN+ISLAND+UNDER+SIEGE+1940-1943.&hl=&source=gbs_api,['History'],2.0,book_covers/880_FORTRESS_MALTA__AN_ISLAND_UNDER_SIEGE_1940-1943_.jpg,History,1
Dialogue with God,"Find out how prayer--our link to God--is the most powerful and vital activity of our life. This book will lead you into a life-changing dimension of two-way communication with our loving GOD. Dialogue With God has dramatically changed my prayer life. I have found I can dialogue with Christ on a daily basis. I believe this inspired approach to be absolutely essential to the growth of every serious Christian."" (Dr. Richard Watson, Dean of the School of Education, Oral Roberts University) Mark Virkler grew up conservative Baptist (Evangelical Baptist), and Patti grew up conservative Evangelical United Brethren. They met while at Roberts Wesleyan College in North Chili, N.Y., and married during their third year. They graduated in 1974, Patti graduating magna cum laude. Since then, Mark has received a Master of Theology from Miami Christian University and a Ph.D. from Carolina Christian University. He has also been included in ""Who's Who in the World"" each year since 2000, and ""Who's Who in American Education"" in 2006. Patti has received a Master of Ministry and Doctorate of Ministry from Vision International University. Mark and Judi have been active in ministry together since meeting in 1970. They founded a church, Pioneer Christian Fellowship, and worked on several church staffs over the years. They have helped develop three networks of church-centered Bible schools, and currently head up Communion With God Ministries. WATCH AUTHOR VIDEO HERE: Video Link:http://www.bridgelogos.com/videos/dialogue-with-god",['Mark Virkler'],http://books.google.com/books/content?id=s3BD2Fa-RZ0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=s3BD2Fa-RZ0C&printsec=frontcover&dq=Dialogue+with+God&hl=&cd=1&source=gbs_api,Bridge Logos Foundation,2001-04,https://play.google.com/store/books/details?id=s3BD2Fa-RZ0C&source=gbs_api,['Religion'],1.0,book_covers/473_Dialogue_with_God.jpg,Religion,2
General Sterling Price and the Civil War in the West,"Indeed, the story of General Price -- as this account by Albert Castle shows -- is the story, in large part, of the Confederacy's struggle in the West. The author draws a fascinating portrait of Price the man -- vain, courageous, addicted to secrecy -- and produces insightful interpretations and much pertinent information about the Civil War in the West.",['Albert Castel'],http://books.google.com/books/content?id=rSl0MIy1XuoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=rSl0MIy1XuoC&printsec=frontcover&dq=General+Sterling+Price+and+the+Civil+War+in+the+West&hl=&cd=1&source=gbs_api,LSU Press,1993-05-01,http://books.google.com/books?id=rSl0MIy1XuoC&dq=General+Sterling+Price+and+the+Civil+War+in+the+West&hl=&source=gbs_api,['History'],,book_covers/803_General_Sterling_Price_and_the_Civil_War_in_the_West.jpg,History,1
Broken Lights and Mended Lives: Theology and Common Life in the Early Church,"A discussion by a broadly respected authority of the complicated relationship between theology and ordinary life in the early church. The first section of the book scrutinizes theology with a view to understanding its bearing upon Christian understandings of life (the theological &“stories&” of Irenaeus, Gregory of Nyssa, and Augustine). The second section examines aspects of ordinary life and explores how Christians related them to religious ideas (the family, hospitality, citizenship, monasticism, and attitudes toward the collapse of the Roman Empire in the West). & This very learned piece of work, which reflects lengthy study of original texts as well as of the current and important secondary literature, is distinctive because it does not conform to the present reigning ideology: The author writes as a convinced Christian thinker. He believes that there is no such thing as a purely detached observer and that the best way of being critical and fair is to make no secret of one&’s presuppositions, but to face them so as to be able to discount them when necessary. This quality makes the work interesting and suggestive. The book is of importance to scholars and theologians and to all concerned with the early church.","['Rowan A. Greer', 'William Caferro']",http://books.google.com/books/content?id=GjTBniyjLGIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=GjTBniyjLGIC&printsec=frontcover&dq=Broken+Lights+and+Mended+Lives:+Theology+and+Common+Life+in+the+Early+Church&hl=&cd=1&source=gbs_api,Penn State Press,2008-02-04,http://books.google.com/books?id=GjTBniyjLGIC&dq=Broken+Lights+and+Mended+Lives:+Theology+and+Common+Life+in+the+Early+Church&hl=&source=gbs_api,['Religion'],,book_covers/608_Broken_Lights_and_Mended_Lives__Theology_and_Common_Life_in_the_Early_Church.jpg,Religion,2
Only For A Year - An Avalon Romance,Accident-prone Joanne fall for the new doctor in town.,['Shelley Galloway'],http://books.google.com/books/content?id=7lMwEpCOxRsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=7lMwEpCOxRsC&q=Only+For+A+Year+-+An+Avalon+Romance&dq=Only+For+A+Year+-+An+Avalon+Romance&hl=&cd=1&source=gbs_api,Montlake Romance,2001,http://books.google.com/books?id=7lMwEpCOxRsC&dq=Only+For+A+Year+-+An+Avalon+Romance&hl=&source=gbs_api,['Fiction'],,book_covers/209_Only_For_A_Year_-_An_Avalon_Romance.jpg,Fiction,0
The Power of Praying: Help for a Woman's Journey Through Life,"Bestselling author Stormie Omartian encourages readers to embrace a rich, active prayer life in The Power of Praying (more than 125,000 copies sold). Now in a trade version, this book will reach more people as it provides inspiration in a portable package. Selections from her titles Just Enough Light for the Step I'm On, The Power of a Praying® Wife, The Power of a Praying® Woman, and The Power of a Praying® Parent create this bountiful gathering of reflections, guidance, Scriptures, and prayers. More than 120 devotions cover topics relevant to a woman's life, including: family and marriage priorities for life dreams waiting to unfold God's will and plan gifts of faith This reader-friendly compilation is a perfect gift for women familiar with or ready to be introduced to the power of prayer as expressed through the writings and heart of Stormie Omartian. Rerelease in trade with new cover",['Stormie Omartian'],http://books.google.com/books/content?id=nRWAxlSj8OUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=nRWAxlSj8OUC&printsec=frontcover&dq=The+Power+of+Praying:+Help+for+a+Woman%27s+Journey+Through+Life&hl=&cd=1&source=gbs_api,Harvest House Publishers,2008-03-01,http://books.google.nl/books?id=nRWAxlSj8OUC&dq=The+Power+of+Praying:+Help+for+a+Woman%27s+Journey+Through+Life&hl=&source=gbs_api,['Religion'],3.0,book_covers/364_The_Power_of_Praying__Help_for_a_Woman_s_Journey_Through_Life.jpg,Religion,2
